year,no,instruction,input,result,isAnswerable,isMultipleChoice,isSingleChoiceSolution,SolutionExplain
plain,11,ตัวเลือกใดถูกต้องที่สุดเกี่ยวกับความสัมพันธ์ระหว่างวัฏจักรเศรษฐกิจและอุตสาหกรรม,1. ธุรกิจเกี่ยวกับสินค้าประเภทคงทนจะมีความน่าสนใจลงทุนในช่วงที่เศรษฐกิจเริ่มชะลอตัวลง 2. ธุรกิจเกี่ยวกับการเงินการธนาคารจะมีความน่าสนใจลงทุนในช่วงที่เศรษฐกิจเริ่มเข้าสู่ช่วงฟื้นตัว 3. ธุรกิจเกี่ยวกับวัตถุดิบพื้นฐานจะมีความน่าสนใจลงทุนในช่วงที่เศรษฐกิจเข้าสู่ช่วงรุ่งเรืองถึงขีดสุด 4. ธุรกิจเกี่ยวกับบริการพื้นฐานจะมีความน่าสนใจลงทุนในช่วงที่เศรษฐกิจกำลังจะผ่านพ้นภาวะถดถอย,3,TRUE,TRUE,TRUE,ธุรกิจเกี่ยวกับสินค้าประเภทคงทนจะมีความน่าสนใจลงทุนในช่วงที่เศรษฐกิจเริ่มเข้าสู่ช่วงฟื้นตัว ธุรกิจเกี่ยวกับการเงินการธนาคารจะมีความน่าสนใจลงทุนในช่วงที่เศรษฐกิจกำลังจะผ่านภาวะถดถอย ธุรกิจเกี่ยวกับวัตถุดิบพื้นฐานจะมีความน่าสนใจลงทุนในช่วงที่เศรษฐกิจเข้าสู่ช่วงรุ่งเรืองสูงสุด ธุรกิจเกี่ยวกับบริการพื้นฐานจะมีความน่าสนใจลงทุนในช่วงที่เศรษฐกิจเริ่มชะลอลง
plain,12,ตัวเลือกใดไม่ใช่ ปัจจัยที่กำหนดการแข่งขันตามแนวคิด Porter’s five forces model,1. สินค้าทดแทน 2. อำนาจการต่อรองกับลูกค้า 3. อำนาจการต่อรองกับรัฐบาล 4. แนวโน้มการเข้ามาของคู่แข่งรายใหม่,3,TRUE,TRUE,TRUE,Porter's five forces model ประกอบด้วย แนวโน้มการเข้ามาของคู่แข่งรายใหม่ อำนาจต่อรองกับลูกค้า อำนาจต่อรองกับผู้ขายวัตถุดิบ สินค้าทดแทน และคู่แข่งที่มีอยู่ในปัจจุบัน
plain,13,บริษัท A มีสินทรัพย์รวม และสินทรัพย์ไม่หมุนเวียนเท่ากับ 200 ล้านบาท และ 140 ล้านบาทตามลำดับ อัตราส่วนทุนหมุนเวียนของบริษัทจะเท่ากับเท่าใด,1. 1.2 เท่า 2. 2.0 เท่า 3. 2.4 เท่า 4. 3.0 เท่า,2,TRUE,TRUE,TRUE,หาสินทรัพย์หมุนเวียน = 200 ลบ. - 140 ลบ. = 60 ลบ. หาหนี้สินหมุนเวียน = 200 ลบ. - 110 ลบ. - 60 ลบ. = 30 ลบ. อัตราส่วนทุนหมุนเวียน = 60 ลบ./ 30 ลบ. = 2 เท่า
plain,14,ตัวเลือกใดต่อไปนี้ถูกต้องเกี่ยวกับรูปแบบการเปลี่ยนแปลงของราคาหลักทรัพย์ตามทฤษฎีดาว,1) หากระดับราคาหุ้นในแนวโน้มรองครั้งต่อมาต่ำกว่าครั้งก่อน แสดงว่าแนวโน้มใหญ่ระยะยาวเริ่มดีขึ้น 2) หากระดับราคาหุ้นในแนวโน้มรองครั้งต่อมาสูงกว่าครั้งก่อน แสดงว่าแนวโน้มใหญ่ในระยะยาวเริ่มไม่ดี 3) หากระดับราคาหุ้นในแนวโน้มรองปรับตัวลดลงแต่ยังคงเหนือระดับที่ลดลงก่อนหน้า แสดงว่าแนวโน้มใหญ่ระยะยาวยังดีอยู่ 4) หากระดับราคาหุ้นในแนวโน้มรองปรับตัวลดลงทั้งจุดสูงสุด และจุดต่ำสุด แสดงว่าแนวโน้มใหญ่ระยะยาวกำลังจะเริ่มปรับขึ้น,3,TRUE,TRUE,TRUE,หากระดับราคาหุ้นในแนวโน้มรองครั้งต่อมาต่ำกว่าครั้งก่อน หรือระดับราคาหุ้นปรับตัวลดลงทั้งจุดสูงสุด และจุดต่ำสุดแสดงว่า แนวโน้มใหญ่ระยะยาวมีการปรับตัวลดลง หากระดับราคาหุ้นในแนวโน้มรองครั้งต่อมาสูงกว่าครั้งก่อนแสดงว่า แนวโน้มใหญ่ในระยะยาวยังคงต่อเนื่องอยู่
plain,15,ตัวเลือกใดต่อไปนี้ ไม่ใช่ เครื่องมือในการบริหารความเสี่ยงจากอัตราแลกเปลี่ยนผ่านธนาคารพาณิชย์,1. FX Forward 2. USD Futures 3. FX Options 4. Cross Currency Swaps,2,TRUE,TRUE,TRUE,"เครื่องมือการบริหารความเสี่ยงจากอัตราแลกเปลี่ยนผ่านธนาคารพาณิชย์ ได้แก่ FX Forward, FX Options และ Cross Currency Swaps ส่วน USD Futures เป็นเครื่องมือ การบริหารความเสี่ยงจากอัตราแลกเปลี่ยนผ่านตลาดสัญญาซื้อขายล่วงหน้า"
plain,16,ตัวเลือกใดต่อไปนี้ ไม่ใช่ องค์ประกอบในการดำเนินธุรกิจเพื่อให้บรรลุเป้าหมาย fair dealing,1. กระบวนการบริหารความเสี่ยงจากการลงทุนให้แก่ลูกค้า 2. กระบวนการขายที่เป็นธรรม และเพื่อประโยชน์ของลูกค้า 3. กระบวนการจัดการเรื่องร้องเรียนที่เป็นธรรม และมีประสิทธิภาพ 4. กระบวนการคัดเลือกผลิตภัณฑ์ที่เหมาะสม และการจัดกลุ่มลูกค้า,1,TRUE,TRUE,TRUE,องค์ประกอบในการดำเนินธุรกิจเพื่อให้บรรลุเป้าหมาย fair dealing มี 8 ด้าน คือ 1. การจัดโครงสร้างองค์กร บทบาทของคณะกรรมการ และหน้าที่ของผู้บริหารระดับสูง 2. การคัดเลือกผลิตภัณฑ์ และการจัดกลุ่มลูกค้า 3. การสื่อสาร และการให้ความรู้แก่คนขาย 4. กระบวนการขาย 5. การกำหนดวิธีการจ่ายค่าตอบแทน 6. การจัดการเรื่องร้องเรียน 7. การควบคุมภายใน และการตรวจสอบการปฏิบัติงาน 8. ระบบปฏิบัติการ และแผนรองรับกรณีเกิดเหตุฉุกเฉิน
plain,17,ในกรณีเสนอขายผลิตภัณฑ์ที่มีความเสี่ยงสูง หรือมีความซับซ้อน ต้องจัดทำ knowledge assessment เพิ่มเติมในด้านใดบ้าง I. การศึกษา II. สถานภาพทางการเงิน III. ประสบการณ์การทํางาน,1. I และ II 2. I และ III 3. II และ III 4. I II และ III,2,TRUE,TRUE,TRUE,ในกรณีเสนอขายผลิตภัณฑ์ที่มีความเสี่ยงสูง หรือมีความซับซ้อน ต้องจัดทำ knowledge assessment เพิ่มเติมในด้านการศึกษา ประสบการณ์การทำงาน และประสบการณ์การลงทุน ส่วนสถานภาพทางการเงินเป็นข้อมูลที่รวบรวมเพื่อทำความรู้จักกับลูกค้า
plain,18,ตัวเลือกใดต่อไปนี้ ไม่ใช่แนวปฎิบัติในการขาย และการให้บริการด้านผลิตภัณฑ์ตราสารทุน,1. การเสนอขายผลิตภัณฑ์ที่ตรงกับความคาดหวัง และเหมาะสมกับลูกค้า 2. การให้คำแนะนำที่ดี มีคุณภาพ โดยคำนึงถึงประโยชน์ที่ดีที่สุดของลูกค้า 3. การไม่เอาเปรียบลูกค้า และมีความรับผิดชอบหลังการขาย และให้บริการ 4. การให้บริการในการลงทุนด้วยเงื่อนไขที่ดีที่สุดตามที่ลูกค้าแต่ละรายคาดหวัง,4,TRUE,TRUE,TRUE,ตัวเลือก 1) 2) และ 3) เป็นแนวปฏิบัติในการขาย และการให้บริการด้านผลิตภัณฑ์ตราสารทุนที่ถูกต้อง ส่วนการให้บริการในการลงทุน หรือทำธุรกรรมก็เพื่อให้ได้รับเงื่อนไขดีที่สุดตามสภาพตลาด (best execution) ไม่ใช่ตามที่ลูกค้าแต่ละรายคาดหวัง
plain,19,ตัวเลือกใดต่อไปนี้ถูกต้องที่สุดเกี่ยวกับการป้องกันการล่วงรู้ และใช้ประโยชน์จากข้อมูลภายใน,1. รายชื่อหลักทรัพย์ในบัญชี watch list จะเปิดเผยให้หน่วยงาน และพนักงานทุกคนในบริษัทได้รู้ 2. ทรัพย์สินของลูกค้าต้องแยกออกจากบัญชีทรัพย์สินบริษัท โดยระบุในบัญชี watch list 3. บริษัทจะปลดรายชื่อหลักทรัพย์ออกจากบัญชี restricted list เมื่อความสัมพันธ์ หรือ deal สิ้นสุด 4. บริษัทจะย้ายรายชื่อหลักทรัพย์จากบัญชี restricted list ไปสู่บัญชี watch list เมื่อความสัมพันธ์ หรือ deal นั้น ได้เปิดเผยต่อสาธารณชนแล้ว,3,TRUE,TRUE,TRUE,รายชื่อหลักทรัพย์ในบัญชี watch list จะเปิดเผยให้รู้เฉพาะหน่วยงาน และพนักงานที่มีความจำเป็นต้องรู้เพื่อการปฏิบัติงานเท่านั้น ส่วนทรัพย์สินของลูกค้าจะระบุอย่างชัดเจนว่าเป็นบัญชีเพื่อลูกค้า ไม่ใช่บัญชี watch list บริษัทจะย้ายรายชื่อหลักทรัพย์จากบัญชี watch list ไปสู่บัญชี restricted list เมื่อข้อตกลงหรือการทำรายการนั้นได้เปิดเผยต่อสาธารณชนแล้ว
plain,20,ตัวเลือกใดต่อไปนี้ที่ผู้ทำหน้าที่ติดต่อผู้ลงทุนสามารถปฎิบัติได้,1. ชักชวน หรือให้คำแนะนำในลักษณะที่เป็นการสนับสนุนให้ผู้ลงทุนทำธุรกรรมบ่อยครั้ง 2. รับมอบหมายจากผู้ลงทุนในการตัดสินใจซื้อขายหลักทรัพย์แทนผู้ลงทุน 3. ให้คำแนะนำการซื้อขายหลักทรัพย์ที่เสนอขายต่อประชาชนในวงกว้างที่บริษัทที่ตนสังกัดเป็นผู้จัดจำหน่าย ในช่วง 5 วันทำการหลังวันปิดการขาย 4. สนับสนุนหรือให้ความช่วยเหลือผู้ลงทุนโดยการจัดหาแหล่งเงินกู้นอกระบบให้เพื่อใช้ในการซื้อขายหลักทรัพย์,3,TRUE,TRUE,TRUE,1) ชักชวน หรือให้คำแนะนำในลักษณะที่เป็นการสนับสนุนให้ผู้ลงทุนทำธุรกรรมบ่อยครั้ง เรียกว่า churning เป็นการกระทำในลักษณะเอาเปรียบลูกค้า 2) รับมอบหมายจากผู้ลงทุนในการตัดสินใจซื้อขายหลักทรัพย์แทนผู้ลงทุนเป็นการกระทำที่ไม่เหมาะสม 3) ให้คำแนะนำการซื้อขายหลักทรัพย์ที่เสนอขายต่อประชาชนในวงกว้างในช่วง 5 วันทำการหลังวันปิดการขายสามารถทำได้ เพราะเป็นเหตุการณ์หลังปิดการขายไปแล้ว 4) สนับสนุนหรือให้ความช่วยเหลือผู้ลงทุนโดยการจัดหาแหล่งเงินกู้นอกระบบให้เพื่อใช้ในการซื้อขายหลักทรัพย์ เป็นการกระทำที่ไม่เหมาะสมยังผู้ประกอบวิชาชีพ
plain,21,ตัวเลือกใดต่อไปนี้เป็นการให้คำแนะนำที่ ไม่เหมาะสม,1. ให้คำแนะนำโดยมีบทวิเคราะห์ หรือเอกสารสนับสนุนอ้างอิง 2. ให้คำแนะนำที่มีความสำคัญ และเพียงพอต่อการตัดสินใจลงทุน 3. ให้คำแนะนำจากผลการวิเคราะห์ข่าวโดยแจ้งถึงแหล่งที่มาของข่าว 4. ให้คำแนะนำตามข่าวลือ โดยแสดงความเห็นถึงความน่าเชื่อถือของข่าว,4,TRUE,TRUE,TRUE,ไม่ให้คำแนะนำโดยที่ไม่มีบทวิเคราะห์ ไม่มีความเห็นส่วนตัว และตามข่าวลือ โดยต้องให้คำแนะนำที่มีความสำคัญ และเพียงพอต่อการตัดสินใจลงทุน หากเป็นการให้คำแนะนำซึ่งเป็นผลมาจากผลการวิเคราะห์ข่าว ต้องแจ้งให้ทราบถึงแหล่งที่มาของข่าวด้วย
plain,22,ตัวเลือกใด ไม่ใช่ บทลงโทษทางปกครอง กรณีที่ผู้ทำหน้าที่ติดต่อผู้ลงทุนไม่ได้ปฎิบัติหน้าที่ด้วยความรับผิดชอบ และรอบคอบเยี่ยงผู้ประกอบวิชาชีพ,1. พักการปฎิบัติงานทั้งหมดภายในช่วงระยะเวลา 1 ปี 2. พักการให้ความเห็นชอบตามระยะเวลาที่กำหนด 3. เปิดเผยพฤติกรรมที่ไม่เหมาะสม แต่ทำหน้าที่ต่อไปได้ 4. เพิกถอนการให้ความเห็นชอบ ไม่สามารถทำหน้าที่อีกต่อไปได้ตามระยะเวลาที่กำหนด,1,TRUE,TRUE,TRUE,บทลงโทษทางปกครองมี 3 ระดับ คือ เปิดเผยพฤติกรรมที่ไม่เหมาะสม พักการให้ความเห็นชอบ และเพิกถอนการให้ความเห็นชอบ
plain,23,ผู้ลงทุนที่ตัดสินใจลงทุนในตราสารตลาดเงิน เนื่องจากมีความต้องการใช้เงินลงทุนระยะสั้น แสดงถึงรูปแบบของผลตอบแทนที่ต้องการแบบใด,1. ผลตอบแทนรวม 2. การปกป้องเงินลงทุน 3. รายได้ประจำจากการลงทุน 4. การเพิ่มมูลค่าของเงินลงทุน,2,TRUE,TRUE,TRUE,"""การปกป้องเงินลงทุน เป็นรูปแบบการลงทุนสำหรับผู้ลงทุนที่เต็มใจรับความเสี่ยงน้อย หรือไม่มีความเต็มใจในการรับความเสี่ยงเลย เนื่องจากเงินลงทุนอาจเป็นเงินส่วนสุดท้ายที่เหลืออยู่ หรือมีความต้องการใช้เงินทุนในระยะสั้น จึงลงทุนในตราสารที่มีความเสี่ยงต่ำ เช่น ตราสารตลาดเงิน"
plain,24,หากผู้รับคำปรึกษามีระดับความเต็มใจในการรับความเสี่ยงสูง แต่มีระดับความสามารถในการรับความเสี่ยงต่ำ ระดับความเสี่ยงที่ยอมรับได้ของผู้รับคำปรึกษาควรอยู่ในระดับใด,1. ต่ำ 2. กลาง 3. สูง 4. ไม่สามารถประเมินได้,1,TRUE,TRUE,TRUE,ในกรณีที่ระดับความเต็มใจในการรับความเสี่ยง และระดับความสามารถในการรับความเสี่ยงไม่ สอดคล้องกัน ควรให้ความสำคัญกับระดับที่ต่ำที่สุดในการให้คำแนะนำ
plain,25,ตัวเลือกใดที่ผู้ลงทุนสามารถนำมาใช้ประกอบการคัดเลือกหลักทรัพย์ที่จะลงทุนได้ I. การวิเคราะห์ทางเทคนิค II. การวิเคราะห์ปัจจัยพื้นฐาน III. การวิเคราะห์การเงินเชิงพฤติกรรม ,1. I และ II 2. I และ III 3. II และ III 4. I II และ III,4,TRUE,TRUE,TRUE,ผู้ลงทุนสามารถใช้การวิเคราะห์ปัจจัยพื้นฐาน การวิเคราะห์ทางเทคนิค และการวิเคราะห์การเงินเชิงพฤติกรรม มาประกอบการตัดสินใจคัดเลือกหลักทรัพย์ที่จะลงทุนได้
plain,26,ตัวเลือกใดต่อไปนี้ ไม่ถูกต้อง เกี่ยวกับประเภทของหุ้นสามัญ,1. ตลาดหุ้นที่มี penny stock จำนวนมาก จะมีความผันผวนของราคาหลักทรัพย์ในตลาดมาก 2. Cyclical stock เป็นหุ้นที่อัตราผลตอบแทนเปลี่ยนแปลงมากกว่าอัตราผลตอบแทนของดัชนีราคาตลาดหลักทรัพย์ 3. หุ้นในกลุ่ม income stock ที่จ่ายปันผลสูงอาจสังเกตได้จากหุ้นที่เป็นองค์ประกอบของ SET50 Index 4. หุ้นที่มีผลการดำเนินงานเติบโตอย่างรวดเร็ว และต่อเนื่องทั้งยอดขาย และกำไร จัดเป็น growth stock,3,TRUE,TRUE,TRUE,หุ้นในกลุ่ม income stock ที่จ่ายปันผลสูง และสม่ำเสมอ อาจสังเกตได้จากหุ้นที่เป็นองค์ประกอบของ SET High Dividend 30 Index
plain,27,ตัวเลือกใดต่อไปนี้ ไม่ใช่ ความเสี่ยงที่ส่งผลต่ออัตราผลตอบแทนจากการลงทุนในตราสารทุน,1. ความเสี่ยงทางการเงินของผู้บริหารบริษัท 2. ความเสี่ยงจากอัตราเงินเฟ้อ 3. ความเสี่ยงจากการเปลี่ยนแปลงของอัตราดอกเบี้ย 4. ความเสี่ยงจากการขาดสภาพคล่องของหลักทรัพย์,1,TRUE,TRUE,TRUE,ความเสี่ยงที่ส่งผลต่ออัตราผลตอบแทนจากการลงทุนในตราสารทุน ได้แก่ ความเสี่ยงจากการเปลี่ยนแปลงของอัตราดอกเบี้ย ความเสี่ยงจากการขาดสภาพคล่องของหลักทรัพย์ และความเสี่ยงจากอัตราเงินเฟ้อ
plain,28,ตัวเลือกใดต่อไปนี้ ไม่ใช่ คุณสมบัติของการเป็นบริษัทจดทะเบียนในตลาดหลักทรัพย์ฯ,"1. มีจำนวนผู้ถือหุ้นรายย่อยไม่น้อยกว่า 1,000 ราย 2. ก่อน IPO ต้องมีส่วนของผู้ถือหุ้นมากกว่า 1 บาท 3. หุ้นสามัญมีมูลค่าที่ตราไว้ไม่น้อยกว่าหุ้นละ 0.50 บาท 4. มีทุนชำระแล้วเฉพาะหุ้นสามัญมากกว่าหรือเท่ากับ 300 ล้านบาท",2,TRUE,TRUE,TRUE,กอ่น IPO ต้องมีส่วนของผู้ถือหุ้นมากกว่า 0 บาท
plain,29,ตัวเลือกใดต่อไปนี้ ไม่ถูกต้อง เกี่ยวกับปัจจัยในการกำหนดมูลค่าหุ้นสามัญ,1. อัตราคิดลดเป็นอัตราที่สะท้อนถึงอัตราผลตอบแทนที่ผู้ลงทุนต้องการจากการลงทุน 2. ความสามารถในการทำกำไรกับมูลค่าสินทรัพย์ของกิจการมีความสัมพันธ์ต่อกันโดยตรง 3. มูลค่าสินทรัพย์ที่นำมาใช้ในการประเมินมูลค่าหุ้นสามัญนั้น เป็นมูลค่าสินทรัพย์ทั้งหมดของกิจการ 4. มูลค่าของหุ้นสามัญจะแปรผันโดยตรงกับกระแสเงินสดที่คาดว่าจะได้รับ และระยะเวลาที่จะได้รับในอนาคต,3,TRUE,TRUE,TRUE,มูลค่าสินทรัพย์ที่นำมาใช้ในการประเมินมูลค่าหุ้นสามัญนั้น เป็นมูลค่าสินทรัพย์สุทธิทั้งหมดของกิจการที่หักภาระหนี้สินออกแล้ว
