year,no,instruction,input,result,isAnswerable,isMultipleChoice,isSingleChoiceSolution,SolutionExplain
example,11,ตัวเลือกใดต่อไปนี้เรียงลำดับขั้นตอนการวิเคราะห์หลักทรัพย์โดยใช้ปัจจัยพื้นฐานแบบบนลงล่าง (Top Down Analysis) ได้ถูกต้อง,1. การวิเคราะห์เศรษฐกิจ การวิเคราะห์บริษัท การวิเคราะห์อุตสาหกรรม 2. การวิเคราะห์อุตสาหกรรม การวิเคราะห์เศรษฐกิจ การวิเคราะห์บริษัท 3. การวิเคราะห์เศรษฐกิจ การวิเคราะห์อุตสาหกรรม การวิเคราะห์บริษัท 4. การวิเคราะห์บริษัท การวิเคราะห์อุตสาหกรรม การวิเคราะห์เศรษฐกิจ,3,TRUE,TRUE,TRUE,ลำดับขั้นของการวิเคราะห์แบบบนลงล่าง (Top Down Analysis) ได้แก่ 1) การวิเคราะห์เศรษฐกิจ 2) การวิเคราะห์อุตสาหกรรม 3) การวิเคราะห์บริษัท
example,12,ในช่วงที่ภาวะเศรษฐกิจของประเทศอยู่ในช่วงชะลอตัว และการลงทุนภาคเอกชนลดต่ำลงอย่างมาก รัฐบาลควรใช้นโยบายการคลังตามตัวเลือกใด เพื่อกระตุ้นการเจริญเติบโตของเศรษฐกิจ,1. การลดอัตราดอกเบี้ยนโยบาย 2. การเพิ่มอัตราภาษี 3. การเพิ่มปริมาณเงินสำรองของธนาคารพาณิชย์ 4. การใช้นโยบายการคลังแบบขาดดุล,4,TRUE,TRUE,TRUE,ในช่วงที่ภาวะเศรษฐกิจของประเทศอยู่ในช่วงชะลอตัว รัฐบาลควรใช้นโยบายการคลังแบบขาดดุล โดยการลดอัตราภาษีและเพิ่มการใช้จ่ายของภาครัฐในโครงการขนาดใหญ่ เพื่อกระตุ้นเศรษฐกิจและสร้างงานในระบบเศรษฐกิจ ส่วนข้อ 1. แม้ว่าการลดอัตราดอกเบี้ยเป็นมาตรการหนึ่งที่จะช่วยกระตุ้นการเติบโตทางเศรษฐกิจ แต่นโยบายดอกเบี้ยถือว่าเป็นนโยบายการเงิน
example,13,"ข้อมูลทางการเงินของบริษัท ค. จำกัด สำหรับปีสิ้นสุดวันที่ 31 ธันวาคม พ.ศ. 25X8 มีดังต่อไปนี้ งบกำไรขาดทุนเบ็ดเสร็จ: หน่วย: ล้านบาท ยอดขายรวม 4,000 ต้นทุนขายและให้บริการ 2,500 ค่าใช้จ่ายอื่นๆในการดำเนินธุรกิจ 1,000 กำไรสุทธิ 500 กำไรสุทธิต่อหุ้น (บาท) 2.50 บาท งบแสดงฐานะทางการเงิน: หน่วย: ล้านบาท สินทรัพย์หมุนเวียน 4,000 สินทรัพย์ไม่หมุนเวียน 2,000 สินทรัพย์รวม 6,000 หนี้สินรวม 4,000 ส่วนของผู้ถือหุ้น 2,000 หนี้สินและส่วนของผู้ถือหุ้นรวม 6,000 จากข้อมูลข้างต้นตัวเลือกใดสรุปไม่ถูกต้อง",1. อัตรากำไรขั้นต้น (Gross Profit Margin) เท่ากับ 37.50% 2. อัตราผลตอบแทนต่อส่วนของผู้ถือหุ้น (ROE) เท่ากับ 20% 3. อัตราส่วนหนี้สินรวมต่อส่วนของผู้ถือหุ้นเท่ากับ 2 เท่า 4. มูลค่าตามบัญชีต่อหุ้นเท่ากับ 10 บาท,2,TRUE,TRUE,TRUE,"1) อัตรากำไรขั้นต้นเท่ากับ (4,000-2,500)/4,000 =37.50% 2) อัตราผลตอบแทนต่อส่วนของผู้ถือหุ้นเท่ากับ 500/2,000 = 25% 3) อัตราส่วนหนี้สินรวมต่อส่วนของผู้ถือหุ้นเท่ากับ 4,000/2,000 = 2 เท่า 4) เนื่องจากบริษัทมีกำไรสุทธิต่อหุ้นเท่ากับ 2.50 บาท ดังนั้น บริษัทมีจำนวนหุ้นที่ ชำระแล้วทั้งสิ้น 200 ล้านหุ้น (500 ล้านบาท/2.50 บาท) ดังนั้น มูลค่าตามบัญชีต่อ หุ้นเท่ากับ 2,000/200 = 10 บาท"
example,14,ในช่วงที่ตลาดหุ้นอยู่ในช่วงขาขึ้น (Bullish Market) ถ้าท่านใช้กลยุทธ์การบริหารกลุ่มหลักทรัพย์ในเชิงรุก (Active Strategy) ท่านควรดำเนินการเช่นใด,1. ลดการถือครองเงินสดและลงทุนในหุ้นให้มากขึ้น โดยเน้นการลงทุนในหุ้นที่มีค่าเบต้ามากกว่า 1 2. ลดการถือครองเงินสดและลงทุนในหุ้นให้มากขึ้น โดยเน้นการลงทุนในหุ้นที่มีค่าเบต้าน้อยกว่า 1 3. เพิ่มการถือครองเงินสดและลดการลงทุนในหุ้น โดยเน้นการลงทุนในหุ้นที่มีค่าเบต้าเท่ากับ 1 4. เพิ่มการถือครองเงินสดและลดการลงทุนในหุ้น โดยเน้นการลงทุนในหุ้นที่มีค่าเบต้าเท่ากับ 0,1,TRUE,TRUE,TRUE,ในช่วง Bullish Market ผู้บริหารกลุ่มหลักทรัพย์ควรปรับสัดส่วนการลงทุนให้มีการลงทุนในหุ้นให้ มากที่สุดและอาจเพิ่มค่เบต้าของพอร์ตการลงทุนเพื่อที่พอร์ตการลงทุนจะได้ตอบสนองต่อการ เพิ่มขึ้นของอัตราผลตอบแทนของตลาด (Market Return) ได้มากขึ้น รวมถึงลดสัดส่วนการถือ ครองเงินสด
example,15,กำหนดให้อัตราผลตอบแทนที่ปราศจากความเสี่ยงเท่ากับ 6% อัตราผลตอบแทนของกลุ่มหลักทรัพย์ตลาดเท่ากับ 13.5% และค่าเบต้าของหลักทรัพย์ A มีค่าเป็น 2 เท่าของค่าเบต้าตลาด อัตราผลตอบแทนที่ต้องการของหลักทรัพย์ A จะมีค่าเท่าใด,1. 6.00% 2. 9.75% 3. 13.50% 4. 21.00%,4,TRUE,TRUE,TRUE,ค่าเบต้าตลาดมีค่าเท่ากับ 1 ดังนั้นค่าเบต้าของหลักทรัพ A มีค่าเท่ากับ 2 อัตราผลตอบแทนที่ ต้องการของหลักทรัพย์ A = 6% + (13.5% - 6%)2 = 21.00%
example,16,ตัวเลือกใดกล่าวไม่ถูกต้องเกี่ยวกับแนวคิดของการบริหารกลุ่มหลักทรัพย์,1. ผู้ลงทุนเป็นผู้ที่กลัวความเสี่ยงดังนั้นหากมีทางเลือกในการลงทุน 2 ทางเลือกที่มีอัตราผลตอบแทนที่คาดหวังเท่ากัน แต่มีระดับความเสี่ยงที่ต่างกัน ผู้ลงทุนจะเลือกการลงทุนที่มีความเสี่ยงต่ำกว่า 2. กลุ่มหลักทรัพย์ที่มีการกระจายการลงทุนเป็นอย่างดี จะไม่มีความเสี่ยงในการลงทุน 3. แนวคิดที่ว่าผู้ลงทุนเป็นผู้ที่กลัวความเสี่ยงจะทำให้เส้นแสดงความสัมพันธ์ระหว่างอัตราผลตอบแทนที่ต้องการจากการลงทุนและความเสี่ยงเป็นเส้นที่ทอดขึ้นจากล่างซ้ายไปบนขวา 4. การที่ระดับการกลัวความเสี่ยงของผู้ลงทุนแต่ละคนไม่เท่ากัน จะทำให้สัดส่วนการลงทุนในหลักทรัพย์ที่มีความเสี่ยงแต่ละประเภทของผู้ลงทุนแต่ละคนแตกต่างกันออกไป,2,TRUE,TRUE,TRUE,แนวคิดที่สำคัญประการหนึ่งของการบริหารกลุ่มหลักทรัพย์คือแนวคิดที่ว่าผู้ลงทุนเป็นผู้ที่กลัวความเสี่ยง กล่าวคือ หากการลงทุนมีความเสี่ยงมากขึ้น ผู้ลงทุนย่อมคาดหวังอัตราผลตอบแทนจากการลงทุนในกลุ่มหลักทรัพย์มากขึ้นซึ่งจะทำให้เส้นแสดงความสัมพันธ์ระหว่างอัตราผลตอบแทนที่ต้องการจากการลงทุนและความเสี่ยงเป็นเส้นที่ทอดขึ้นจากล่างซ้ายไปบนขวา ทั้งนี้ผู้ลงทุนแต่ละคนจะมีระดับการกลัวความเสี่ยงที่แตกต่างกันออกไป ซึ่งจะทำให้สัดส่วนการลงทุนในหลักทรัพย์ที่มีความเสี่ยงแต่ละประเภทของผู้ลงทุนแต่ละคนจะแตกต่างกันออกไป แนวคิดที่ว่าผู้ลงทุนเป็นผู้ที่กลัวความเสี่ยงหรือต้องการหลีกหนีความเสี่ยงจะทำให้เราสามารถสรุปได้ว่าหากผู้ลงทุนมีทางเลือกในการลงทุน 2 ทางเลือกที่มีอัตราผลตอบแทนที่คาดหวังเท่ากัน แต่มีระดับความเสี่ยงที่ต่างกัน ผู้ลงทุนย่อมเลือกทางเลือกในการลงทุนที่มีความเสี่ยงต่ำกว่า และถ้าผู้ลงทุนมีทางเลือกในการลงทุน 2ทางเลือกที่มีระดับความเสี่ยงที่เท่ากันแต่มีระดับผลตอบแทนที่คาดหวังแตกต่างกันผู้ลงทุนจะเลือกทางเลือกในการลงทุนที่ให้ผลตอบแทนที่สูงกว่า ตัวเลือกที่ 2 ไม่ถูกต้อง เพราะถึงแม้ว่ากลุ่มหลักทรัพย์ที่มีการกระจายการลงทุนเป็นอย่างดี (Well-Diversified Portfolio) กลุ่มหลักทรัพย์ดังกล่าวก็จะยังมีความเสี่ยงที่เป็นระบบ (Systematic Risk) ยังเหลืออยู่ โดยความเสี่ยงที่เป็นระบบจะเป็นความเสี่ยงที่มีผลกระทบต่อการลงทุนในหลักทรัพย์ทุกประเภทและไม่สามารถขจัดไปได้ด้วยการกระจายการลงทุน
example,17,ผู้ลงทุนท่านหนึ่งลงทุนในหุ้นสามัญ AAA ที่จดทะเบียนซื้อขายในตลาดหลักทรัพย์ฯ พร้อมทั้งเปิดสถานะซื้อพุทธาคติ หุ้นสามัญ AAA ของท่านหนึ่งจะมีสถานะอย่างไร,1. ตลาดหลักทรัพย์ฯ จะพิจารณาสถานะซื้อของหุ้นสามัญ AAA ด้วยความพึงใจ 2. ตลาดหลักทรัพย์ฯ จะไม่รับรู้สถานะซื้อของหุ้นสามัญ AAA 3. ตลาดหลักทรัพย์ฯ จะให้สถานะซื้อของหุ้นสามัญ AAA เป็นสถานะพุทธาคติ 4. ตลาดหลักทรัพย์ฯ จะกำหนดสถานะของหุ้นสามัญ AAA เป็นสถานะซื้อปกติ,1,TRUE,TRUE,TRUE,ผู้ลงทุนท่านดังกล่าวกลัวว่าราคาของหุ้นที่เขาลงทุนจะลดลง ซึ่งจะทำให้เขาขาดทุนจากการลงทุน ผู้ลงทุนท่านดังกล่าวจึงได้ดำรงฐานะซื้อพุตออปชั่นซึ่งให้สิทธิแก่ผู้ถือในการขายหลักทรัพย์หรือตัวแปรอ้างอิงในราคาที่ระบุไว้ในออปชั่นได้ ซึ่งเป็นการปกป้องความเสี่ยงของการขาดทุนจากการที่ราคาหุ้นในตลาดลดต่ำลง
example,18,สัญญาซื้อขายล่วงหน้าที่คู่สัญญาตกลงในรายละเอียดเกี่ยวกับสินค้าอ้างอิง ราคา ปริมาณและเวลาส่งมอบไว้แล้ว โดยเป็นสัญญาซื้อขายล่วงหน้าที่มีความเป็นมาตรฐาน และสัญญาซื้อขายล่วงหน้าดังกล่าวสามารถซื้อขายใน ตลาดตราสารอนุพันธ์ที่จัดตั้งอย่างเป็นทางการ สัญญาซื้อขายล่วงหน้าประเภทดังกล่าวเป็นสัญญาประเภทใด,1. สัญญาฟิวเจอร์ส 2. สัญญาฟอร์เวิร์ด 3. สัญญาสวอป 4. สัญญาออปชัน,1,TRUE,TRUE,TRUE,สัญญาฟิวเจอร์สเป็นสัญญาซื้อขายล่วงหน้าที่คู่สัญญาตกลงในรายละเอียดเกี่ยวกับสินค้าอ้างอิง ราคา ปริมาณและเวลาส่งมอบไว้แล้ว โดยเป็นสัญญาซื้อขายล่วงหน้าที่มีความเป็นมาตรฐาน ทั้งในด้านราคา ปริมาณและเวลาส่งมอบ รวมทั้งคุณภาพของสินค้าอ้างอิง การซื้อขายฟิวเจอร์สสามารถซื้อขายในตลาดที่จัดตั้งอย่างเป็นทางการ โดยมีองค์กรกำกับดูแลควบคุมและติดตามให้มีการซื้อขายสัญญาฟิวเจอร์สอย่างเป็นธรรมและเป็นไปตามกฎระเบียบที่กำหนดขึ้น
example,19,ตัวเลือกใดดังต่อไปนี้ ไม่ใช่ การดำเนินการที่เหมาะสมในการป้องกันความขัดแย้งทางผลประโยชน์ที่อาจเกิดขึ้นในการดำเนินงานของธุรกิจหลักทรัพย์,1. บริษัทหลักทรัพย์ ธนารักษ์ จำกัด เปิดเผยในบทวิจัยหลักทรัพย์ของบริษัท โชคชัย จำกัด (มหาชน) ที่ออกโดยฝ่ายวิจัยหลักทรัพย์ว่าทางบริษัทเป็นผู้รับประกันการจัดจำหน่ายหุ้นเพิ่มทุน (underwriter) ของบริษัท โชคชัย จำกัด (มหาชน) 2. บริษัทหลักทรัพย์ ธนาโชค จำกัด แต่งตั้งนายอักษรา มีเกิดผล เป็นกรรมการผู้จัดการฝ่ายวาณิชธนกิจและฝ่ายวิจัยหลักทรัพย์ของบริษัท 3. บริษัทหลักทรัพย์ ธนาพล จำกัด ไม่รับจัดจำหน่ายหุ้นเพิ่มทุนของธนาคารกำลังไทย จำกัด (มหาชน) ซึ่งเป็นผู้ถือหุ้นใหญ่ของบริษัท 4. บริษัทหลักทรัพย์ ธนาศิริ จำกัด จัดให้มีการแยกสถานที่ทำงานอย่างชัดเจนระหว่างฝ่ายวิจัยหลักทรัพย์และฝ่ายวาณิชธนกิจ,2,TRUE,TRUE,TRUE,ผู้บริหารระดับสูงสุดของฝ่ายวาณิชธนกิจและฝ่ายวิจัยหลักทรัพย์ของบริษัทหลักทรัพย์ ธนาโชค จำกัด ควรเป็นคนละคนกัน เพื่อก่อให้เกิดกลไกในการตรวจสอบและถ่วงดุลการบริหาร และเป็นการป้องกันไม่ให้เกิดความขัดแย้งทางผลประโยชน์ในการดำเนินธุรกิจ
example,20,การดำเนินการใดต่อไปนี้มีความไม่เหมาะสมกับหลักทรัพย์ที่อยู่ในบัญชี watch list,1. บริษัทหลักทรัพย์จะนำหลักทรัพย์ขึ้นบัญชี watch list เมื่อบริษัทได้รับทราบข้อมูลภายในของบริษัทผู้ออกหลักทรัพย์ 2. หลักทรัพย์ที่อยู่ในบัญชี watch list จะได้รับการเปิดเผยให้รู้ได้เฉพาะหน่วยงานและพนักงานที่จำเป็นต้องทราบเท่านั้น 3. หลักทรัพย์ที่อยู่ในบัญชี watch list สามารถนำไปใช้เป็นหลักประกันในการเปิดบัญชีพาณิชย์ 4. หลักทรัพย์ที่อยู่ในบัญชี watch list สามารถนำไปซื้อขายโดยไม่ต้องมีการเปิดเผยข้อมูลที่เกี่ยวข้อง,4,TRUE,TRUE,TRUE,เมื่อข้อมูลเกี่ยวกับความสัมพันธ์ระหว่างหลักทรัพย์ที่อยู่ใน watch list และบริษัทหลักทรัพย์ ได้รับการเปิดเผยต่อสาธารณชนแล้ว บริษัทหลักทรัพย์จะย้ายรายชื่อหลักทรัพย์จากบัญชี watch list ไปสู่บัญชี restricted list ต่อไป
example,21,ผู้แนะนำการลงทุนคนใดต่อไปนี้มีการดำเนินการที่เป็นไปตามหลักเกณฑ์และจริยธรรมในการทำหน้าที่ของผู้แนะนำการลงทุน,1. นายศักดิ์ศรีใช้บัญชีของลูกค้ารายหนึ่งซื้อขายหุ้นให้แก่ลูกค้าอีกรายหนึ่ง 2. นายสะสมแนะนำให้ลูกค้าที่รับความเสี่ยงจากการลงทุนได้ต่ำมากลงทุนในหุ้นของบริษัทขนาดเล็กที่มีความผันผวนของราคาสูง 3. นายศักดาแจ้งให้ลูกค้าทราบว่าการลงทุนในพันธบัตรรัฐบาลมีความเสี่ยงจากการผิดนัดชำระหนี้ต่ำ 4. นายสมหมายแจ้งให้ลูกค้ารายหนึ่งทราบว่าการลงทุนในหุ้นของบริษัทที่มีปัจจัยพื้นฐานดีบริษัทหนึ่งจะให้ผลตอบแทนจากการลงทุนร้อยละ 10 ในช่วงหนึ่งปีข้างหน้า,3,TRUE,TRUE,TRUE,ตัวเลือกที่ 1. เป็นการดำเนินการที่ไม่เหมาะสมเพราะเป็นการใช้บัญชีซื้อขายหุ้นของลูกค้า รายหนึ่งเพื่อสร้างประโยชน์ให้แก่ลูกค้าอีกรายหนึ่ง ตัวเลือกที่ 2.เป็นการดำเนินการที่ไม่เหมาะสมเพราะเป็นการให้คำแนะนำการลงทุนที่ไม่ เหมาะกับลูกค้า ตัวเลือกที่ 4. เป็นการดำเนินการที่ไม่เหมาะสมเพราะเป็นการรับประกันผลตอบแทนจาก การลงทุนให้แก่ ลูกค้า สำหรับการลงทุนในหลักทรัพย์ที่มีความเสี่ยงจากการลงทุนสูงและมีความไม่แน่นอน ทางด้านราคาและผลตอบแทนจากการลงทุน ตัวเลือกที่ 3. เป็นการดำเนินการที่เหมาะสม เพราะเป็นการให้ข้อมูลที่ถูกต้องและเหมาะสม และไม่ทำให้ลูกค้าสำคัญผิด
example,22,ตัวเลือกใดดังต่อไปนี้ ไม่ใช่ ความผิดมูลฐานตามพระราชบัญญัติป้องกันและปราบปรามการฟอกเงิน พ.ศ.2542,1. การลักลอบหนีภาษีศุลกากร 2. การฉ้อโกงประชาชน 3. ความผิดต่อตำแหน่งหน้าที่ราชการ พนักงานในองค์การหรือหน่วยงานของรัฐ 4. ถูกทุกตัวเลือก,4,TRUE,TRUE,TRUE,ความผิดมูลฐานตามพระราชบัญญัติป้องกันและปราบปรามการฟอกเงิน พ.ศ.2542 ได้แก่ยาเสพติด ความผิดเกี่ยวกับเพศ เช่น การล่อลวงค้าประเวณี การค้าประเวณีโดย การฉ้อโกงประชาชน การยักยอก ฉ้อโกง หรือประทุษร้ายต่อทรัพย์ ความผิดต่อตำแหน่งหน้าที่ราชการ พนักงานในองค์กรหรือหน่วยงานของรัฐ การกระทำหรือรีดเอาทรัพย์โดยอ้างอำนาจหรือซ่องโจร การลักลอบหนีภาษีศุลกากร
